날짜,총 크롤링 요청 횟수,총 다운로드 크기(바이트),평균 응답 시간(밀리초)
2026-01-13,60,911616,180
2026-01-14,3,12962,298
2026-01-15,29,101182,809
2026-01-16,4,20411,515
2026-01-17,0,0,0
